PDB File,LIS Score
CO2PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_010.pdb,0.684631653511435
CO1PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_012.pdb,0.6221079246328622
AQPDZ3_AQCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_011.pdb,0.6582037325038881
CO1PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_032.pdb,0.6230463117027176
CO2PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_071.pdb,0.6926524328689683
CO2PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_088.pdb,0.6836160081053697
CO1PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_048.pdb,0.623171373200443
AQPDZ3_AQCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_010.pdb,0.661041504539559
CO1PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_025.pdb,0.6264850869925435
AQPDZ3_AQCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_088.pdb,0.6593241316744427
AQPDZ3_AQCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_071.pdb,0.669603111814346
CO2PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_011.pdb,0.6762743309002434
HSPDZ3_CRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_011.pdb,0.6753383668903803
CO1PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_015.pdb,0.6226114341085272
HSPDZ3_CRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_010.pdb,0.6841392390289449
CO1PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_058.pdb,0.6251224066390042
HSPDZ3_CRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_071.pdb,0.6771690616155019
HSPDZ3_CRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_088.pdb,0.6734230856623494
HSPDZ3_CRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_025.pdb,0.6739291967607792
HSPDZ3_CRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_048.pdb,0.6861954854262546
AQPDZ3_AQCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_015.pdb,0.6613681204569055
AQPDZ3_AQCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_058.pdb,0.6610323965651834
CO2PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_015.pdb,0.686888551165147
HSPDZ3_CRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_012.pdb,0.6830945725599814
CO2PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_058.pdb,0.6734563929738562
HSPDZ3_CRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_032.pdb,0.6850753295668549
CO1PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_010.pdb,0.6248063623789765
AQPDZ3_AQCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_025.pdb,0.6689362398533647
HSPDZ3_CRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_015.pdb,0.6748519239083441
AQPDZ3_AQCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_048.pdb,0.667408631415241
CO2PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_012.pdb,0.687462489862125
CO2PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_032.pdb,0.6824080845013204
CO1PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_088.pdb,0.6247199170124481
CO1PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_071.pdb,0.6318927488282328
HSPDZ3_CRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_058.pdb,0.6791499218575575
AQPDZ3_AQCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_012.pdb,0.6684457671957672
CO2PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_048.pdb,0.6789355231143552
CO2PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_025.pdb,0.6851326447954637
CO1PDZ3_COCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_011.pdb,0.6248345791805093
AQPDZ3_AQCRIPT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_032.pdb,0.6624713765287537
